,id,title,summary,content,created_date,modified_date,published_date,category,author,thumbnail_url,image_url,publisher_id,publisher_name,publisher_url
0,933311,Discussion paper on licensing of digital insurers,“The proposed framework aims to attract new digital players that can offer innovative solutions to address critical protection gaps among the unserved and underserved ma,"<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">“The proposed framework aims to attract new digital players that can offer innovative solutions to address critical protection gaps among the unserved and underserved ma",2022-01-05 07:50:27,2022-01-05 07:50:27,2022-01-05 00:00:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431767.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431767.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
1,933309,Ranhill Utilities secures RM161mil NRW reduction jobs,"In a filing with Bursa Malaysia yesterday, the group said that on Monday, its indirect wholly-owned subsidiary Ranhill Water Services Sdn Bhd (RWS) has accepted a letter","<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">In a filing with Bursa Malaysia yesterday, the group said that on Monday, its indirect wholly-owned subsidiary Ranhill Water Services Sdn Bhd (RWS) has accepted a letter",2022-01-05 07:40:49,2022-01-05 07:40:49,2022-01-05 00:00:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431765.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431765.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
2,933307,Ringgit seen firming moderately in H2,Currency likely to strengthen to RM4.10 at end-2022,"<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">Currency likely to strengthen to RM4.10 at end-2022</p>
                                                                                                                 ",2022-01-05 07:40:49,2022-01-05 07:40:49,2022-01-05 00:00:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431759.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431759.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
3,933305,Turkish lira slips as inflation seen rising even higher,"The lira weakened as far as 13.5 to the dollar from a close of 12.96 on Monday, and stood at 13.295 by 0946 GMT, as economists forecast consumer prices would continue to","<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">The lira weakened as far as 13.5 to the dollar from a close of 12.96 on Monday, and stood at 13.295 by 0946 GMT, as economists forecast consumer prices would continue to",2022-01-05 07:30:36,2022-01-05 07:30:36,2022-01-05 00:00:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431755.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431755.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
4,933303,In need of more high-skilled jobs,Malaysia must act to stop growth from slowing further,"<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">Malaysia economic output</p>
                                                                                                                                            ",2022-01-05 07:30:33,2022-01-05 07:30:33,2022-01-05 00:00:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431751.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431751.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
5,933301,EXPLAINER-Do 5G telecoms pose a threat to airline safety?,"NEW YORK: U.S. telecom companies and airlines have been fighting for weeks over the potential impact of 5G wireless services on aircraft, in stark contrast to the rollout of new-generation services elsewhere, which has broadly gone ahead without airing new safety concerns.","<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">U.S. aviation industry groups in recent months stepped up concerns and the Federal Aviation Administration (FAA) issued a formal warning in November of the risk of inter",2022-01-05 07:20:41,2022-01-05 07:20:41,2022-01-05 07:05:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431746.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431746.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
6,933299,IMF delays release of new forecast to Jan 25 to factor in COVID-19 developments,"WASHINGTON: The International Monetary Fund has delayed the release of its World Economic Outlook by one week to Jan. 25 to factor in the latest COVID-19 developments, a spokesperson for the global lender said on Tuesday.","<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">“The World Economic Outlook update will be launched on January 25 to allow our teams to incorporate the latest developments related to the COVID-19 pandemic into the eco",2022-01-05 07:10:37,2022-01-05 07:10:37,2022-01-05 07:01:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431745.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431745.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
7,933297,US manufacturing cools but Malaysia and globally factories take Omicron risks in their stride for now,"LONDON/TOKYO: Global manufacturing activity remained strong in December as factories took rising cases of the new Omicron coronavirus variant in their stride, although persistent supply constraints and rising costs clouded the outlook for some economies.","<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">Other parts of Asia also fared well with manufacturing activity expanding in countries ranging from Vietnam to Malaysia and the Philippines.(File pic: Workers  packing c",2022-01-05 07:10:36,2022-01-05 07:10:36,2022-01-05 06:53:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431742.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431742.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
8,933295,Oil price up at US$80/bbl as OPEC+ sticks with Feb output hike,"NEW YORK: Global benchmark Brent crude jumped on Tuesday to $80 a barrel, its highest since November, as OPEC+ agreed to stick with its planned increase for February based on indications that the Omicron coronavirus variant would have only a mild impact on demand.","<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">Brent futures settled up US$1.02, or 1.3%, at $80 a barrel, almost back to the level they were at on Nov. 26 when reports of the new variant first appeared, sparking a m",2022-01-05 07:00:35,2022-01-05 07:00:35,2022-01-05 06:46:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431740.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431740.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
9,933293,"Nevada to join US$26bil opioid settlement with J&J, drug distributors","NEW YORK: Nevada has agreed to join a proposed nationwide settlement worth up to US$26 billion resolving claims that three large U.S. drug distributors and the drugmaker Johnson &amp; Johnson fueled a deadly opioid epidemic, the state's attorney general said on Tuesday.","<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">Nevada was one of a handful of states that until now was not participating in the landmark accord that would resolve thousands of opioid lawsuits against J&amp;J, McKess",2022-01-05 06:50:45,2022-01-05 06:50:45,2022-01-05 06:38:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431738.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431738.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
10,933291,"Dow posts closing record high for 2nd day, boosted by banks","NEW YORK: The Dow Jones Industrial Average reached a record closing high on Tuesday for a second straight day as financial and industrial shares rallied, while the Nasdaq fell.","<div class=""inline-img"">
                    <div class=""story-image"">
                                                                                                                                                                                            
                                                                                                                                                        <p class=""caption"">The Dow Jones Industrial Average rose 214.59 points, or 0.59%, to 36,799.65; the S&amp;P 500 lost 3.02 points, or 0.06%, at 4,793.54; and the Nasdaq Composite dropped 21",2022-01-05 06:50:42,2022-01-05 06:50:42,2022-01-05 06:35:00,,,//images.weserv.nl/?url=https://apicms.thestar.com.my/uploads/images/2022/01/05/1431736.jpg&w=300,https://apicms.thestar.com.my/uploads/images/2022/01/05/1431736.jpg,28,TheStar,http://www.thestar.com.my/news/latest/?tag=Business
11,933289,"Re-gazette Pasir Panjang beach, stop illegal sand mining, authorities told","MANJUNG (Jan 4): Turtle landing and eco-tourism activities, as well as the physical structure of Pasir Panjang beach will be destroyed if the state government does not re-gazette the area, said Sahabat Alam Malaysia (SAM).
SAM field researcher Meor Razak Meor ...","<p>MANJUNG (Jan 4): Turtle landing and eco-tourism activities, as well as the physical structure of Pasir Panjang beach will be destroyed if the state government does not re-gazette the area, said Sahabat Alam Malaysia (SAM).</p>
<p>SAM field researcher Meor Razak Meor Abdul Rahman said the area was de-gazetted on Feb 2, 1989 and since then, various tree planting programmes had been implemented before being threatened by an illegal sand extraction project since last November.</p>
<p>He said several non-governmental organisations have filed a complaint about the illegal activity on Nov 4.</p>
<",2022-01-05 01:40:23,2022-01-05 01:40:23,2022-01-05 01:38:00,,,https://assets.theedgemarkets.com/Malaysia-sand-exports_20220105012242_reuters.jpg?JZBi.u_KoYPJtv404EUO_xz5s5_v.kit,https://assets.theedgemarkets.com/Malaysia-sand-exports_20220105012242_reuters.jpg?JZBi.u_KoYPJtv404EUO_xz5s5_v.kit,52,TheEdge,http://www.theedgemarkets.com/categories/malaysia
